img,descr
https://st.hzcdn.com/fimgs/pictures/house-exteriors/west-hampstead-family-residence-vorbild-architecture-img~ad4146440b2106e6_9560-1-16b2e67-w360-h360-b0-p0.jpg,a large minimalist multicolored three-story stucco exterior home design in london with a shingle roof and a red roof
https://st.hzcdn.com/fimgs/pictures/exteriors/new-custom-modern-single-family-home-mesh-dbs-img~f4d17951022793d8_7841-1-01dda3b-w360-h360-b0-p0.jpg,a large contemporary multicolored three-story brick exterior home idea in san francisco with a metal roof and a black roof
https://st.hzcdn.com/fimgs/pictures/exteriors/addition-and-renovation-hackley-and-associates-architects-inc-img~0c41e2b0065495c1_5058-1-8624882-w360-h360-b0-p0.jpg,a large elegant red three-story brick exterior home photo in chicago with a shingle roof and a gray roof
https://st.hzcdn.com/fimgs/pictures/exteriors/parkland-estates-2014-hittmeier-design-consultants-img~d2b17a8b0627f2cb_3231-1-d861c3e-w360-h360-b0-p0.jpg,"a large mediterranean white two-story stucco house exterior remodel in tampa with a hip roof, a tile roof and a red roof"
https://st.hzcdn.com/fimgs/pictures/exteriors/mackinac-island-shoreline-architecture-and-design-img~24b1bced071e2a09_4178-1-601f048-w360-h360-b0-p0.jpg,a mid-sized arts and crafts gray two-story wood and shingle exterior home design in other with a shingle roof and a gray roof
https://st.hzcdn.com/fimgs/pictures/exteriors/berkshire-hall-kiawah-island-architrave-img~25d139e6076c513f_9629-1-6da0a7c-w360-h360-b0-p0.jpg,a mid-sized transitional gray three-story wood exterior home photo in charleston with a shingle roof and a gray roof
https://st.hzcdn.com/fimgs/pictures/exteriors/skagit-bay-waterfront-camano-island-wa-dan-nelson-designs-northwest-architects-img~e9912fda02f941dd_1724-1-ebbae6b-w360-h360-b0-p0.jpg,a mid-sized coastal gray two-story mixed siding and board and batten exterior home remodel in seattle with a shingle roof and a gray roof
https://st.hzcdn.com/fimgs/pictures/家の外観/豊橋市-八町通の家-株式会社kotori-img~30019cd60cc259f2_4772-1-968b0d4-w360-h360-b0-p0.jpg,"a large danish white two-story mixed siding house exterior design in other with a shed roof, a metal roof and a gray roof"
https://st.hzcdn.com/fimgs/pictures/exteriors/new-peninsula-residence-kaplan-architects-aia-img~0771be1b04f66854_3018-1-1f062fa-w360-h360-b0-p0.jpg,a large modern brown two-story wood exterior home remodel in san francisco with a metal roof and a gray roof
https://st.hzcdn.com/fimgs/pictures/家の外観/豊川市-八幡町の家2-株式会社kotori-img~531191260cb81312_3309-1-a36bd23-w360-h360-b0-p0.jpg,"a large scandinavian white two-story mixed siding and board and batten house exterior remodel in other with a shed roof, a metal roof and a black roof"
https://st.hzcdn.com/fimgs/pictures/house-exteriors/stamford-road-timber-clad-extension-paul-testa-architecture-img~727195da09633888_4343-1-38be970-w360-h360-b0-p0.jpg,a mid-sized contemporary multicolored three-story wood and board and batten exterior home remodel in other with a mixed material roof and a gray roof
https://st.hzcdn.com/fimgs/pictures/exteriors/mackinac-island-shoreline-architecture-and-design-img~94810615071e2a17_4798-1-2181683-w360-h360-b0-p0.jpg,a mid-sized arts and crafts gray two-story wood and shingle exterior home photo in other with a shingle roof and a brown roof
https://st.hzcdn.com/fimgs/pictures/exteriors/brookgreen-cottage-paragon-custom-construction-llc-img~da516885052ebdd1_6053-1-71c1bae-w360-h360-b1-p10.jpg,a mid-sized arts and crafts beige one-story brick exterior home photo in charleston with a shingle roof and a brown roof
https://st.hzcdn.com/fimgs/pictures/exteriors/glen-lake-shoreline-architecture-and-design-img~16d1c4e005f34306_1895-1-535d1ea-w360-h360-b0-p0.jpg,a mid-sized elegant gray two-story wood exterior home photo in other with a shingle roof and a gray roof
https://st.hzcdn.com/fimgs/pictures/家の外観/豊橋-牛川町の家2014-株式会社kotori-img~b61138b60618783c_5790-1-ad497b5-w360-h360-b0-p0.jpg,a large danish white two-story mixed siding and board and batten exterior home photo in other with a metal roof and a black roof
https://st.hzcdn.com/fimgs/pictures/exteriors/glen-lake-shoreline-architecture-and-design-img~5b11b69005f344af_1896-1-3967830-w360-h360-b0-p0.jpg,a mid-sized classic gray two-story wood and clapboard exterior home design in other with a shingle roof and a gray roof
https://st.hzcdn.com/fimgs/ec21526b021d0e98_5881-w360-h360-b0-p0--.jpg,"a large two-storey house in white plaster and prefabricated brick elements, black roof and black color as an additional on the facade"
https://st.hzcdn.com/fimgs/8831e005013ce0a9_6520-w360-h360-b0-p0--.jpg,a mid-sized minimalist black two-story mixed siding and board and batten exterior home photo in sussex with a tile roof and a brown roof
https://st.hzcdn.com/fimgs/00019c6a003fad5e_2882-w360-h360-b0-p0--.jpg,a mid-sized gray one-story mixed siding and board and batten exterior home photo in other with a mixed material roof and a gray roof
